-----------------------------------------------------------------------------------------------------------------------------------
                                        S I S T E M A S     D E     M E D I A C I O N                                              
Fecha del reporte: 26/12/2016 10:00                                                                                                
-----------------------------------------------------------------------------------------------------------------------------------
 
-----------------------------------------------------------------------------------------------------------------------------------
Reporte generado a partir del 17 de Octubre de 2016  al   26 de Diciembre de 2016 a las 10:01:23 AM.

TOTAL DE EVENTOS: 11487              MONTO TOTAL DE LOS EVENTOS EN PESOS (M.N): 2,868,700.00
-----------------------------------------------------------------------------------------------------------------------------------
 
 
REGION	FOLIO		FECHA Y HORA		MONTO	CONSUMO
R09	000000002933202	2016-12-06 09:29:49	100.00	Donacion 100
R06	000000003688380	2016-12-06 11:32:13	100.00	Donacion 100
R03	000000003172802	2016-12-06 15:17:38	300.00	Donacion 300
R05	000000007756737	2016-12-06 22:20:45	300.00	Donacion 300
R04	000000001160572	2016-12-07 10:19:45	500.00	Donacion 500
R04	000000004797709	2016-12-07 10:20:06	200.00	Donacion 200
R04	000000006423704	2016-12-07 10:39:35	500.00	Donacion 500
R09	000000001076747	2016-12-07 10:40:39	300.00	Donacion 300
R06	000000005376032	2016-12-07 13:32:22	200.00	Donacion 200
R07	000000002573865	2016-12-07 13:47:15	500.00	Donacion 500
R07	000000009557327	2016-12-07 13:47:38	500.00	Donacion 500
R09	000000006440562	2016-12-07 13:51:11	200.00	Donacion 200
R07	000000004660567	2016-12-07 14:15:19	100.00	Donacion 100
R04	000000001414283	2016-12-07 14:50:18	100.00	Donacion 100
R04	000000004349774	2016-12-07 14:55:25	100.00	Donacion 100
R08	000000001055901	2016-12-07 14:56:08	100.00	Donacion 100
R06	000000002824162	2016-12-07 17:07:07	200.00	Donacion 200
R09	000000001587577	2016-12-07 19:56:06	500.00	Donacion 500
R09	000000009466981	2016-12-07 19:56:31	500.00	Donacion 500
R04	000000006732283	2016-12-07 20:23:18	100.00	Donacion 100
R09	000000006984142	2016-12-07 20:42:06	100.00	Donacion 100
R05	000000007151658	2016-12-07 21:27:25	100.00	Donacion 100
R03	000000008683556	2016-12-08 01:32:52	100.00	Donacion 100
R09	000000008800515	2016-12-08 07:42:19	500.00	Donacion 500
R09	000000005860159	2016-12-08 08:12:55	100.00	Donacion 100
R09	000000002811341	2016-12-08 10:32:39	100.00	Donacion 100
R04	000000009049219	2016-12-08 10:46:21	200.00	Donacion 200
R09	000000009847776	2016-12-08 10:49:43	100.00	Donacion 100
R09	000000007531860	2016-12-08 11:53:36	300.00	Donacion 300
R09	000000001033825	2016-12-08 12:12:32	100.00	Donacion 100
R09	000000003344502	2016-12-08 13:03:38	200.00	Donacion 200
R01	000000003511318	2016-12-08 14:55:22	100.00	Donacion 100
R08	000000009265310	2016-12-08 14:56:15	100.00	Donacion 100
R09	000000005790277	2016-12-08 14:56:22	100.00	Donacion 100
R09	000000003030181	2016-12-08 15:03:28	500.00	Donacion 500
R09	000000009602494	2016-12-08 15:06:15	500.00	Donacion 500
R09	000000003126790	2016-12-08 17:44:55	200.00	Donacion 200
R09	000000009657101	2016-12-08 20:11:05	100.00	Donacion 100
R05	000000002234871	2016-12-08 22:39:28	300.00	Donacion 300
R06	000000008748234	2016-12-09 06:23:33	300.00	Donacion 300
R09	000000002127371	2016-12-09 08:19:31	100.00	Donacion 100
R03	000000001597292	2016-12-09 08:19:33	100.00	Donacion 100
R09	000000009482762	2016-12-09 09:30:02	500.00	Donacion 500
R09	000000009681699	2016-12-09 09:34:29	500.00	Donacion 500
R09	000000009171898	2016-12-09 10:12:00	500.00	Donacion 500
R06	000000003701291	2016-12-09 10:12:27	200.00	Donacion 200
R09	000000004373078	2016-12-09 10:21:09	100.00	Donacion 100
R09	000000002031274	2016-12-09 10:45:02	500.00	Donacion 500
