Fecha y Hora,suc_id,suc_nombre,region,plaza,No. De Movimientos,total,efectivo,tajeta1
2016-12-10 01:44,10,F A TUXTLA GTZ 5 DE MAYO,SURESTE,TUXTLA,12,98,0,0
2016-12-10 01:44,1000,F A SAN LUIS P INDUSTRIAS,NORTE,SAN LUIS POTOSI,38,374,0,0
2016-12-10 01:44,1003,F A VILLAHERMOSA GUACAMAYOS,SURESTE,VILLAHERMOSA,59,303,0,0
2016-12-10 01:44,1004,F A VILLAHERMOSA RAMON MENDOZA,SURESTE,VILLAHERMOSA,75,433,0,0
2016-12-10 01:44,1006,F A AGUASCALIENTES SAN IGNACIO,NORTE,AGUASCALIENTES,16,51,0,0
2016-12-10 01:44,1014,F A SAN LUIS P SANTOS DEGOLLADO,NORTE,SAN LUIS POTOSI,2,150,0,0
2016-12-10 01:44,1016,F A VILLAHERMOSA FUENTE MAYA,SURESTE,VILLAHERMOSA,37,277,0,0
2016-12-10 01:44,1031,F A PACHUCA INSURGENTES,BAJIO,PACHUCA,12,141,0,0
2016-12-10 01:44,1054,F A COATZACOALCOS FLORES MAGON,SURESTE,VILLAHERMOSA,10,104,0,0
2016-12-10 01:44,1056,F A JALISCO ENCARNACION HIDALGO,NORTE,AGUASCALIENTES,117,697,0,0
2016-12-10 01:44,1058,F A AGUASCALIENTES AGOSTADERO,NORTE,AGUASCALIENTES,12,55,0,0
2016-12-10 01:44,1059,F A AGUASCALIENTES ALLENDE,NORTE,AGUASCALIENTES,2,8,0,0
2016-12-10 01:44,1065,F A AGUASCALIENTES CANTERAS,NORTE,AGUASCALIENTES,38,198,0,0
2016-12-10 01:44,1067,F A AGUASCALIENTES CONSTITUCION,NORTE,AGUASCALIENTES,11,176,0,0
2016-12-10 01:44,1068,F A AGUASCALIENTES JUAREZ,NORTE,AGUASCALIENTES,6,26,0,0
2016-12-10 01:44,1071,F A AGUASCALIENTES MARISTA,NORTE,AGUASCALIENTES,67,295,0,0
2016-12-10 01:44,1072,F A AGUASCALIENTES MENDEL,NORTE,AGUASCALIENTES,13,72,0,0
2016-12-10 01:44,1073,F A AGUASCALIENTES MORELOS,NORTE,AGUASCALIENTES,100,356,0,0
2016-12-10 01:44,1075,F A AGUASCALIENTES PARIAN,NORTE,AGUASCALIENTES,13,153,0,0
2016-12-10 01:44,1080,F A AGUASCALIENTES SAN NICOLAS,NORTE,AGUASCALIENTES,7,55,0,0
2016-12-10 01:44,1081,F A AGUASCALIENTES VILLASUNCION,NORTE,AGUASCALIENTES,77,349,0,0
2016-12-10 01:44,1086,F A JALISCO REGINA,NORTE,AGUASCALIENTES,3,21,0,0
2016-12-10 01:44,1087,F A JALISCO TEOCALTICHE,NORTE,AGUASCALIENTES,2,157,0,0
2016-12-10 01:44,1089,F A ZACATECAS LORETO,NORTE,AGUASCALIENTES,86,458,0,0
2016-12-10 01:44,1093,F A AGUASCALIENTES PABELLON,NORTE,AGUASCALIENTES,674,3595,0,0
2016-12-10 01:44,1094,F A AGUASCALIENTES RINCON,NORTE,AGUASCALIENTES,401,2972,0,0
2016-12-10 01:44,1095,F A LAGOS DE MORENO LAGOS,BAJIO,LEON,43,646,0,0
2016-12-10 01:44,1096,F A LAGOS DE MORENO CONSTITUYENTES,BAJIO,LEON,19,609,0,0
2016-12-10 01:44,11,F A TUXTLA GTZ 9A. NORTE,SURESTE,TUXTLA,50,263,0,0
2016-12-10 01:44,1101,F A LEON MERCADO,BAJIO,LEON,1,10,0,0
2016-12-10 01:44,1106,F A TAPACHULA HOSPITAL,SURESTE,TAPACHULA,188,442,0,0
2016-12-10 01:44,1112,F A SAN LUIS P MORELOS,NORTE,SAN LUIS POTOSI,1,50,0,0
2016-12-10 01:44,1118,F A TULA DE ALLENDE 5 DE MAYO,BAJIO,PACHUCA,24,176,0,0
2016-12-10 01:44,1119,F A IXTEPEC IXTEPEC F,SURESTE,TUXTLA,16,77,0,0
2016-12-10 01:44,1120,F A TUXTLA GTZ MOCTEZUMA,SURESTE,TUXTLA,7,37,0,0
2016-12-10 01:44,1125,F A TAPACHULA 5 DE FEBRERO,SURESTE,TAPACHULA,162,723,0,0
2016-12-10 01:44,1131,F A OAXACA DEL BOSQUE,CENTRO SUR,OAXACA,21,119,0,0
2016-12-10 01:44,1135,F A IRAPUATO TELEGRAFOS,BAJIO,IRAPUATO,84,1071,0,0
2016-12-10 01:44,1138,F A HUIMANGUILLO HUIMANGUILLO,SURESTE,VILLAHERMOSA,70,622,0,0
2016-12-10 01:44,1142,F A OAXACA DOLORES,CENTRO SUR,OAXACA,2,6,0,0
2016-12-10 01:44,1144,F A SAN LUIS P SAN PEDRO,NORTE,SAN LUIS POTOSI,50,274,0,0
2016-12-10 01:44,1157,F A GUADALAJARA BELISARIO DOMINGUEZ,BAJIO,GUADALAJARA,5,70,0,0
2016-12-10 01:44,1158,F A GUADALAJARA AGUSTIN YAÑEZ,BAJIO,GUADALAJARA,2,2,0,0
2016-12-10 01:44,1160,F A GUADALAJARA PABLO NERUDA,BAJIO,GUADALAJARA,3,1002,0,0
2016-12-10 01:44,1162,F A IRAPUATO REFORMA,BAJIO,IRAPUATO,47,615,0,0
2016-12-10 01:44,1164,F A GUADALAJARA TEPEYAC,BAJIO,GUADALAJARA,106,664,0,0
2016-12-10 01:44,1170,F A GUADALAJARA SANTA MARGARITA,BAJIO,GUADALAJARA,46,409,0,0
2016-12-10 01:44,1174,F A VILLAHERMOSA SAMARKANDA,SURESTE,VILLAHERMOSA,10,838,0,0
2016-12-10 01:44,1177,F A GUADALAJARA GLORIETA OBRERO,BAJIO,GUADALAJARA,101,1381,0,0
2016-12-10 01:44,1179,F A MINATITLAN 5 DE FEBRERO,SURESTE,VILLAHERMOSA,13,50,0,0
2016-12-10 01:44,1181,F A IRAPUATO SAN PEDRO,BAJIO,IRAPUATO,64,388,0,0
2016-12-10 01:44,1183,F A GUADALAJARA VALLARTA,BAJIO,GUADALAJARA,5,17,0,0
2016-12-10 01:44,1184,F A GUADALAJARA 7 COLINAS,BAJIO,GUADALAJARA,24,168,0,0
2016-12-10 01:44,1185,F A GUADALAJARA TABACHINES,BAJIO,GUADALAJARA,24,116,0,0
