Fecha y Hora,suc_id,suc_nombre,region,plaza,No. De Movimientos,total,efectivo,tajeta1
2016-12-10 10:44,10,F A TUXTLA GTZ 5 DE MAYO,SURESTE,TUXTLA,16,136,0,0
2016-12-10 10:44,1000,F A SAN LUIS P INDUSTRIAS,NORTE,SAN LUIS POTOSI,40,884,0,0
2016-12-10 10:44,1003,F A VILLAHERMOSA GUACAMAYOS,SURESTE,VILLAHERMOSA,63,341,0,0
2016-12-10 10:44,1004,F A VILLAHERMOSA RAMON MENDOZA,SURESTE,VILLAHERMOSA,79,455,0,0
2016-12-10 10:44,1006,F A AGUASCALIENTES SAN IGNACIO,NORTE,AGUASCALIENTES,16,51,0,0
2016-12-10 10:44,1008,F A PUEBLA NORTE XONACATEPEC,CENTRO SUR,PUEBLA NORTE,69,519,0,0
2016-12-10 10:44,1011,F A XALAPA ORIZABA,CENTRO SUR,XALAPA,32,167,0,0
2016-12-10 10:44,1014,F A SAN LUIS P SANTOS DEGOLLADO,NORTE,SAN LUIS POTOSI,2,150,0,0
2016-12-10 10:44,1016,F A VILLAHERMOSA FUENTE MAYA,SURESTE,VILLAHERMOSA,47,445,0,0
2016-12-10 10:44,1025,F A XALAPA AVILA CAMACHO,CENTRO SUR,XALAPA,19,314,0,0
2016-12-10 10:44,1031,F A PACHUCA INSURGENTES,BAJIO,PACHUCA,18,291,0,0
2016-12-10 10:44,105,F A PUEBLA SUR ANZURES,CENTRO SUR,PUEBLA SUR,12,665,0,0
2016-12-10 10:44,1054,F A COATZACOALCOS FLORES MAGON,SURESTE,VILLAHERMOSA,10,104,0,0
2016-12-10 10:44,1056,F A JALISCO ENCARNACION HIDALGO,NORTE,AGUASCALIENTES,121,721,0,0
2016-12-10 10:44,1058,F A AGUASCALIENTES AGOSTADERO,NORTE,AGUASCALIENTES,14,90,0,0
2016-12-10 10:44,1059,F A AGUASCALIENTES ALLENDE,NORTE,AGUASCALIENTES,2,8,0,0
2016-12-10 10:44,106,F A PUEBLA NORTE BOULEVARD NORTE,CENTRO SUR,PUEBLA NORTE,8,27,0,0
2016-12-10 10:44,1065,F A AGUASCALIENTES CANTERAS,NORTE,AGUASCALIENTES,41,212,0,0
2016-12-10 10:44,1067,F A AGUASCALIENTES CONSTITUCION,NORTE,AGUASCALIENTES,12,181,0,0
2016-12-10 10:44,1068,F A AGUASCALIENTES JUAREZ,NORTE,AGUASCALIENTES,6,26,0,0
2016-12-10 10:44,107,F A PUEBLA SUR ZARAGOZA,CENTRO SUR,PUEBLA SUR,8,114,0,0
2016-12-10 10:44,1071,F A AGUASCALIENTES MARISTA,NORTE,AGUASCALIENTES,67,295,0,0
2016-12-10 10:44,1072,F A AGUASCALIENTES MENDEL,NORTE,AGUASCALIENTES,13,72,0,0
2016-12-10 10:44,1073,F A AGUASCALIENTES MORELOS,NORTE,AGUASCALIENTES,106,411,0,0
2016-12-10 10:44,1075,F A AGUASCALIENTES PARIAN,NORTE,AGUASCALIENTES,13,153,0,0
2016-12-10 10:44,108,F A PUEBLA SUR CENTRO,CENTRO SUR,PUEBLA SUR,1,3,0,0
2016-12-10 10:44,1080,F A AGUASCALIENTES SAN NICOLAS,NORTE,AGUASCALIENTES,7,55,0,0
2016-12-10 10:44,1081,F A AGUASCALIENTES VILLASUNCION,NORTE,AGUASCALIENTES,78,449,0,0
2016-12-10 10:44,1086,F A JALISCO REGINA,NORTE,AGUASCALIENTES,5,331,0,0
2016-12-10 10:44,1087,F A JALISCO TEOCALTICHE,NORTE,AGUASCALIENTES,5,477,0,0
2016-12-10 10:44,1089,F A ZACATECAS LORETO,NORTE,AGUASCALIENTES,88,478,0,0
2016-12-10 10:44,109,F A PUEBLA NORTE XONACA,CENTRO SUR,PUEBLA NORTE,24,147,0,0
2016-12-10 10:44,1093,F A AGUASCALIENTES PABELLON,NORTE,AGUASCALIENTES,681,3620,0,0
2016-12-10 10:44,1094,F A AGUASCALIENTES RINCON,NORTE,AGUASCALIENTES,419,3104,0,0
2016-12-10 10:44,1095,F A LAGOS DE MORENO LAGOS,BAJIO,LEON,43,646,0,0
2016-12-10 10:44,1096,F A LAGOS DE MORENO CONSTITUYENTES,BAJIO,LEON,20,659,0,0
2016-12-10 10:44,11,F A TUXTLA GTZ 9A. NORTE,SURESTE,TUXTLA,52,269,0,0
2016-12-10 10:44,110,F A PUEBLA NORTE CHOLULA CENTRO,CENTRO SUR,PUEBLA NORTE,52,303,0,0
2016-12-10 10:44,1101,F A LEON MERCADO,BAJIO,LEON,2,15,0,0
2016-12-10 10:44,1106,F A TAPACHULA HOSPITAL,SURESTE,TAPACHULA,191,451,0,0
2016-12-10 10:44,1111,F A XALAPA COATEPEC JUAREZ,CENTRO SUR,XALAPA,27,178,0,0
2016-12-10 10:44,1112,F A SAN LUIS P MORELOS,NORTE,SAN LUIS POTOSI,1,50,0,0
2016-12-10 10:44,1117,F A XALAPA COATEPEC MERCADO,CENTRO SUR,XALAPA,93,608,0,0
2016-12-10 10:44,1118,F A TULA DE ALLENDE 5 DE MAYO,BAJIO,PACHUCA,27,291,0,0
2016-12-10 10:44,1119,F A IXTEPEC IXTEPEC F,SURESTE,TUXTLA,16,77,0,0
2016-12-10 10:44,1120,F A TUXTLA GTZ MOCTEZUMA,SURESTE,TUXTLA,9,42,0,0
2016-12-10 10:44,1125,F A TAPACHULA 5 DE FEBRERO,SURESTE,TAPACHULA,165,736,0,0
2016-12-10 10:44,1131,F A OAXACA DEL BOSQUE,CENTRO SUR,OAXACA,21,119,0,0
2016-12-10 10:44,1135,F A IRAPUATO TELEGRAFOS,BAJIO,IRAPUATO,86,1089,0,0
2016-12-10 10:44,1138,F A HUIMANGUILLO HUIMANGUILLO,SURESTE,VILLAHERMOSA,73,634,0,0
2016-12-10 10:44,1141,F A PUEBLA NORTE REFORMA,CENTRO SUR,PUEBLA NORTE,14,68,0,0
2016-12-10 10:44,1142,F A OAXACA DOLORES,CENTRO SUR,OAXACA,3,106,0,0
2016-12-10 10:44,1143,F A VERACRUZ TEHUANTEPEC,CENTRO SUR,VERACRUZ,18,80,0,0
2016-12-10 10:44,1144,F A SAN LUIS P SAN PEDRO,NORTE,SAN LUIS POTOSI,51,294,0,0
2016-12-10 10:44,1145,F A PUEBLA NORTE REVOLUCION,CENTRO SUR,PUEBLA NORTE,11,41,0,0
2016-12-10 10:44,1147,F A VERACRUZ FLORES MAGON,CENTRO SUR,VERACRUZ,13,55,0,0
2016-12-10 10:44,1153,F A GUADALAJARA CAMARENA,BAJIO,GUADALAJARA,3,12,0,0
2016-12-10 10:44,1154,F A GUADALAJARA MERCADO BOLA,BAJIO,GUADALAJARA,1,100,0,0
2016-12-10 10:44,1155,F A PUEBLA SUR SAN ISIDRO,CENTRO SUR,PUEBLA SUR,1,2,0,0
2016-12-10 10:44,1157,F A GUADALAJARA BELISARIO DOMINGUEZ,BAJIO,GUADALAJARA,7,91,0,0
2016-12-10 10:44,1158,F A GUADALAJARA AGUSTIN YAÑEZ,BAJIO,GUADALAJARA,2,2,0,0
2016-12-10 10:44,1159,F A VERACRUZ EJERCITO MEXICANO,CENTRO SUR,VERACRUZ,5,25,0,0
2016-12-10 10:44,1160,F A GUADALAJARA PABLO NERUDA,BAJIO,GUADALAJARA,3,1002,0,0
2016-12-10 10:44,1162,F A IRAPUATO REFORMA,BAJIO,IRAPUATO,53,640,0,0
2016-12-10 10:44,1164,F A GUADALAJARA TEPEYAC,BAJIO,GUADALAJARA,111,733,0,0
2016-12-10 10:44,1168,F A XALAPA 20 DE NOVIEMBRE,CENTRO SUR,XALAPA,25,144,0,0
2016-12-10 10:44,1170,F A GUADALAJARA SANTA MARGARITA,BAJIO,GUADALAJARA,51,461,0,0
2016-12-10 10:44,1174,F A VILLAHERMOSA SAMARKANDA,SURESTE,VILLAHERMOSA,12,1938,0,0
2016-12-10 10:44,1177,F A GUADALAJARA GLORIETA OBRERO,BAJIO,GUADALAJARA,112,1416,0,0
2016-12-10 10:44,1179,F A MINATITLAN 5 DE FEBRERO,SURESTE,VILLAHERMOSA,13,50,0,0
2016-12-10 10:44,1180,F A LEON HIDALGO,BAJIO,LEON,2,170,0,0
2016-12-10 10:44,1181,F A IRAPUATO SAN PEDRO,BAJIO,IRAPUATO,65,394,0,0
2016-12-10 10:44,1183,F A GUADALAJARA VALLARTA,BAJIO,GUADALAJARA,5,17,0,0
2016-12-10 10:44,1184,F A GUADALAJARA 7 COLINAS,BAJIO,GUADALAJARA,25,173,0,0
2016-12-10 10:44,1185,F A GUADALAJARA TABACHINES,BAJIO,GUADALAJARA,27,172,0,0
2016-12-10 10:44,1186,F A GUADALAJARA PABLO CASALS,BAJIO,GUADALAJARA,7,73,0,0
2016-12-10 10:44,1187,F A TUXTLA GTZ 21 PONIENTE,SURESTE,TUXTLA,44,238,0,0
2016-12-10 10:44,1188,F A SALINA CRUZ SALINA CRUZ F,SURESTE,TUXTLA,1,1,0,0
2016-12-10 10:44,1197,F A COATZACOALCOS EL PALMAR,SURESTE,VILLAHERMOSA,40,190,0,0
2016-12-10 10:44,12,F A TUXTLA GTZ MEXICANA,SURESTE,TUXTLA,20,95,0,0
2016-12-10 10:44,1201,F A IRAPUATO GUERRERO,BAJIO,IRAPUATO,39,208,0,0
2016-12-10 10:44,1203,F A VERACRUZ COSTA EXPRESS,CENTRO SUR,VERACRUZ,16,128,0,0
2016-12-10 10:44,1204,F A SAN LUIS P CALZADA DE GUADALUPE,NORTE,SAN LUIS POTOSI,12,71,0,0
2016-12-10 10:44,1205,F A IRAPUATO MARIANO J GARCIA,BAJIO,IRAPUATO,74,353,0,0
2016-12-10 10:44,1206,F A SAN LUIS P GALVEZ,NORTE,SAN LUIS POTOSI,28,180,0,0
