Fecha y Hora,suc_id,suc_nombre,region,plaza,No. De Movimientos,total,efectivo,tajeta1
2016-12-10 11:44,10,F A TUXTLA GTZ 5 DE MAYO,SURESTE,TUXTLA,17,141,0,0
2016-12-10 11:44,1000,F A SAN LUIS P INDUSTRIAS,NORTE,SAN LUIS POTOSI,43,1009,0,0
2016-12-10 11:44,1003,F A VILLAHERMOSA GUACAMAYOS,SURESTE,VILLAHERMOSA,63,341,0,0
2016-12-10 11:44,1004,F A VILLAHERMOSA RAMON MENDOZA,SURESTE,VILLAHERMOSA,81,470,0,0
2016-12-10 11:44,1006,F A AGUASCALIENTES SAN IGNACIO,NORTE,AGUASCALIENTES,17,57,0,0
2016-12-10 11:44,1008,F A PUEBLA NORTE XONACATEPEC,CENTRO SUR,PUEBLA NORTE,70,521,0,0
2016-12-10 11:44,1011,F A XALAPA ORIZABA,CENTRO SUR,XALAPA,32,167,0,0
2016-12-10 11:44,1014,F A SAN LUIS P SANTOS DEGOLLADO,NORTE,SAN LUIS POTOSI,2,150,0,0
2016-12-10 11:44,1016,F A VILLAHERMOSA FUENTE MAYA,SURESTE,VILLAHERMOSA,54,545,0,0
2016-12-10 11:44,1025,F A XALAPA AVILA CAMACHO,CENTRO SUR,XALAPA,21,424,0,0
2016-12-10 11:44,1031,F A PACHUCA INSURGENTES,BAJIO,PACHUCA,22,418,0,0
2016-12-10 11:44,105,F A PUEBLA SUR ANZURES,CENTRO SUR,PUEBLA SUR,13,785,0,0
2016-12-10 11:44,1054,F A COATZACOALCOS FLORES MAGON,SURESTE,VILLAHERMOSA,12,119,0,0
2016-12-10 11:44,1056,F A JALISCO ENCARNACION HIDALGO,NORTE,AGUASCALIENTES,125,741,0,0
2016-12-10 11:44,1058,F A AGUASCALIENTES AGOSTADERO,NORTE,AGUASCALIENTES,14,90,0,0
2016-12-10 11:44,1059,F A AGUASCALIENTES ALLENDE,NORTE,AGUASCALIENTES,2,8,0,0
2016-12-10 11:44,106,F A PUEBLA NORTE BOULEVARD NORTE,CENTRO SUR,PUEBLA NORTE,9,29,0,0
2016-12-10 11:44,1065,F A AGUASCALIENTES CANTERAS,NORTE,AGUASCALIENTES,41,212,0,0
2016-12-10 11:44,1067,F A AGUASCALIENTES CONSTITUCION,NORTE,AGUASCALIENTES,16,636,0,0
2016-12-10 11:44,1068,F A AGUASCALIENTES JUAREZ,NORTE,AGUASCALIENTES,6,26,0,0
2016-12-10 11:44,107,F A PUEBLA SUR ZARAGOZA,CENTRO SUR,PUEBLA SUR,14,161,0,0
2016-12-10 11:44,1071,F A AGUASCALIENTES MARISTA,NORTE,AGUASCALIENTES,67,295,0,0
2016-12-10 11:44,1072,F A AGUASCALIENTES MENDEL,NORTE,AGUASCALIENTES,13,72,0,0
2016-12-10 11:44,1073,F A AGUASCALIENTES MORELOS,NORTE,AGUASCALIENTES,107,412,0,0
2016-12-10 11:44,1075,F A AGUASCALIENTES PARIAN,NORTE,AGUASCALIENTES,13,153,0,0
2016-12-10 11:44,108,F A PUEBLA SUR CENTRO,CENTRO SUR,PUEBLA SUR,2,33,0,0
2016-12-10 11:44,1080,F A AGUASCALIENTES SAN NICOLAS,NORTE,AGUASCALIENTES,9,71,0,0
2016-12-10 11:44,1081,F A AGUASCALIENTES VILLASUNCION,NORTE,AGUASCALIENTES,79,589,0,0
2016-12-10 11:44,1086,F A JALISCO REGINA,NORTE,AGUASCALIENTES,5,331,0,0
2016-12-10 11:44,1087,F A JALISCO TEOCALTICHE,NORTE,AGUASCALIENTES,6,497,0,0
2016-12-10 11:44,1089,F A ZACATECAS LORETO,NORTE,AGUASCALIENTES,89,488,0,0
2016-12-10 11:44,109,F A PUEBLA NORTE XONACA,CENTRO SUR,PUEBLA NORTE,26,168,0,0
2016-12-10 11:44,1093,F A AGUASCALIENTES PABELLON,NORTE,AGUASCALIENTES,694,3665,0,0
2016-12-10 11:44,1094,F A AGUASCALIENTES RINCON,NORTE,AGUASCALIENTES,425,3225,0,0
2016-12-10 11:44,1095,F A LAGOS DE MORENO LAGOS,BAJIO,LEON,45,659,0,0
2016-12-10 11:44,1096,F A LAGOS DE MORENO CONSTITUYENTES,BAJIO,LEON,20,659,0,0
2016-12-10 11:44,11,F A TUXTLA GTZ 9A. NORTE,SURESTE,TUXTLA,52,269,0,0
2016-12-10 11:44,110,F A PUEBLA NORTE CHOLULA CENTRO,CENTRO SUR,PUEBLA NORTE,59,333,0,0
2016-12-10 11:44,1101,F A LEON MERCADO,BAJIO,LEON,5,35,0,0
2016-12-10 11:44,1106,F A TAPACHULA HOSPITAL,SURESTE,TAPACHULA,191,451,0,0
2016-12-10 11:44,1111,F A XALAPA COATEPEC JUAREZ,CENTRO SUR,XALAPA,27,178,0,0
2016-12-10 11:44,1112,F A SAN LUIS P MORELOS,NORTE,SAN LUIS POTOSI,1,50,0,0
2016-12-10 11:44,1117,F A XALAPA COATEPEC MERCADO,CENTRO SUR,XALAPA,94,625,0,0
2016-12-10 11:44,1118,F A TULA DE ALLENDE 5 DE MAYO,BAJIO,PACHUCA,29,298,0,0
2016-12-10 11:44,1119,F A IXTEPEC IXTEPEC F,SURESTE,TUXTLA,16,77,0,0
2016-12-10 11:44,1120,F A TUXTLA GTZ MOCTEZUMA,SURESTE,TUXTLA,10,45,0,0
2016-12-10 11:44,1125,F A TAPACHULA 5 DE FEBRERO,SURESTE,TAPACHULA,165,736,0,0
