Fecha y Hora,suc_id,suc_nombre,region,plaza,No. De Movimientos,total,efectivo,tajeta1
2016-12-10 22:14,10,F A TUXTLA GTZ 5 DE MAYO,SURESTE,TUXTLA,20,231,0,0
2016-12-10 22:14,1000,F A SAN LUIS P INDUSTRIAS,NORTE,SAN LUIS POTOSI,88,1986,0,0
2016-12-10 22:14,1003,F A VILLAHERMOSA GUACAMAYOS,SURESTE,VILLAHERMOSA,100,1931,0,0
2016-12-10 22:14,1004,F A VILLAHERMOSA RAMON MENDOZA,SURESTE,VILLAHERMOSA,90,700,0,0
2016-12-10 22:14,1006,F A AGUASCALIENTES SAN IGNACIO,NORTE,AGUASCALIENTES,39,1880,0,0
2016-12-10 22:14,1008,F A PUEBLA NORTE XONACATEPEC,CENTRO SUR,PUEBLA NORTE,97,1306,0,0
2016-12-10 22:14,1011,F A XALAPA ORIZABA,CENTRO SUR,XALAPA,44,1441,0,0
2016-12-10 22:14,1014,F A SAN LUIS P SANTOS DEGOLLADO,NORTE,SAN LUIS POTOSI,9,721,0,0
2016-12-10 22:14,1016,F A VILLAHERMOSA FUENTE MAYA,SURESTE,VILLAHERMOSA,69,928,0,0
2016-12-10 22:14,1025,F A XALAPA AVILA CAMACHO,CENTRO SUR,XALAPA,33,1058,0,0
2016-12-10 22:14,1031,F A PACHUCA INSURGENTES,BAJIO,PACHUCA,39,706,0,0
2016-12-10 22:14,105,F A PUEBLA SUR ANZURES,CENTRO SUR,PUEBLA SUR,19,987,0,0
2016-12-10 22:14,1054,F A COATZACOALCOS FLORES MAGON,SURESTE,VILLAHERMOSA,12,119,0,0
2016-12-10 22:14,1056,F A JALISCO ENCARNACION HIDALGO,NORTE,AGUASCALIENTES,142,1648,0,0
2016-12-10 22:14,1058,F A AGUASCALIENTES AGOSTADERO,NORTE,AGUASCALIENTES,18,480,0,0
2016-12-10 22:14,1059,F A AGUASCALIENTES ALLENDE,NORTE,AGUASCALIENTES,8,332,0,0
2016-12-10 22:14,106,F A PUEBLA NORTE BOULEVARD NORTE,CENTRO SUR,PUEBLA NORTE,29,555,0,0
2016-12-10 22:14,1065,F A AGUASCALIENTES CANTERAS,NORTE,AGUASCALIENTES,50,753,0,0
2016-12-10 22:14,1067,F A AGUASCALIENTES CONSTITUCION,NORTE,AGUASCALIENTES,50,1456,0,0
2016-12-10 22:14,1068,F A AGUASCALIENTES JUAREZ,NORTE,AGUASCALIENTES,16,1774,0,0
2016-12-10 22:14,107,F A PUEBLA SUR ZARAGOZA,CENTRO SUR,PUEBLA SUR,37,830,0,0
2016-12-10 22:14,1071,F A AGUASCALIENTES MARISTA,NORTE,AGUASCALIENTES,87,647,0,0
2016-12-10 22:14,1072,F A AGUASCALIENTES MENDEL,NORTE,AGUASCALIENTES,27,211,0,0
2016-12-10 22:14,1073,F A AGUASCALIENTES MORELOS,NORTE,AGUASCALIENTES,145,1298,0,0
2016-12-10 22:14,1075,F A AGUASCALIENTES PARIAN,NORTE,AGUASCALIENTES,22,1477,0,0
2016-12-10 22:14,108,F A PUEBLA SUR CENTRO,CENTRO SUR,PUEBLA SUR,9,1365,0,0
2016-12-10 22:14,1080,F A AGUASCALIENTES SAN NICOLAS,NORTE,AGUASCALIENTES,22,1222,0,0
2016-12-10 22:14,1081,F A AGUASCALIENTES VILLASUNCION,NORTE,AGUASCALIENTES,127,3317,0,0
2016-12-10 22:14,1086,F A JALISCO REGINA,NORTE,AGUASCALIENTES,38,1664,0,0
2016-12-10 22:14,1087,F A JALISCO TEOCALTICHE,NORTE,AGUASCALIENTES,31,4404,0,0
2016-12-10 22:14,1089,F A ZACATECAS LORETO,NORTE,AGUASCALIENTES,112,1178,0,0
2016-12-10 22:14,109,F A PUEBLA NORTE XONACA,CENTRO SUR,PUEBLA NORTE,42,251,0,0
2016-12-10 22:14,1093,F A AGUASCALIENTES PABELLON,NORTE,AGUASCALIENTES,784,5160,0,0
2016-12-10 22:14,1094,F A AGUASCALIENTES RINCON,NORTE,AGUASCALIENTES,481,4253,0,0
2016-12-10 22:14,1095,F A LAGOS DE MORENO LAGOS,BAJIO,LEON,103,6841,0,0
2016-12-10 22:14,1096,F A LAGOS DE MORENO CONSTITUYENTES,BAJIO,LEON,37,4237,0,0
2016-12-10 22:14,11,F A TUXTLA GTZ 9A. NORTE,SURESTE,TUXTLA,60,380,0,0
2016-12-10 22:14,110,F A PUEBLA NORTE CHOLULA CENTRO,CENTRO SUR,PUEBLA NORTE,105,1139,0,0
