Fecha y Hora,suc_id,suc_nombre,region,plaza,No. De Movimientos,total,efectivo,tajeta1
2016-12-10 19:44,10,F A TUXTLA GTZ 5 DE MAYO,SURESTE,TUXTLA,20,231,0,0
2016-12-10 19:44,1000,F A SAN LUIS P INDUSTRIAS,NORTE,SAN LUIS POTOSI,74,1311,0,0
2016-12-10 19:44,1003,F A VILLAHERMOSA GUACAMAYOS,SURESTE,VILLAHERMOSA,88,1374,0,0
2016-12-10 19:44,1004,F A VILLAHERMOSA RAMON MENDOZA,SURESTE,VILLAHERMOSA,88,553,0,0
2016-12-10 19:44,1006,F A AGUASCALIENTES SAN IGNACIO,NORTE,AGUASCALIENTES,28,965,0,0
2016-12-10 19:44,1008,F A PUEBLA NORTE XONACATEPEC,CENTRO SUR,PUEBLA NORTE,88,1149,0,0
2016-12-10 19:44,1011,F A XALAPA ORIZABA,CENTRO SUR,XALAPA,39,276,0,0
2016-12-10 19:44,1014,F A SAN LUIS P SANTOS DEGOLLADO,NORTE,SAN LUIS POTOSI,9,721,0,0
2016-12-10 19:44,1016,F A VILLAHERMOSA FUENTE MAYA,SURESTE,VILLAHERMOSA,66,790,0,0
2016-12-10 19:44,1025,F A XALAPA AVILA CAMACHO,CENTRO SUR,XALAPA,32,1008,0,0
2016-12-10 19:44,1031,F A PACHUCA INSURGENTES,BAJIO,PACHUCA,37,700,0,0
2016-12-10 19:44,105,F A PUEBLA SUR ANZURES,CENTRO SUR,PUEBLA SUR,18,887,0,0
2016-12-10 19:44,1054,F A COATZACOALCOS FLORES MAGON,SURESTE,VILLAHERMOSA,12,119,0,0
2016-12-10 19:44,1056,F A JALISCO ENCARNACION HIDALGO,NORTE,AGUASCALIENTES,137,1041,0,0
2016-12-10 19:44,1058,F A AGUASCALIENTES AGOSTADERO,NORTE,AGUASCALIENTES,16,360,0,0
2016-12-10 19:44,1059,F A AGUASCALIENTES ALLENDE,NORTE,AGUASCALIENTES,8,332,0,0
2016-12-10 19:44,106,F A PUEBLA NORTE BOULEVARD NORTE,CENTRO SUR,PUEBLA NORTE,26,395,0,0
2016-12-10 19:44,1065,F A AGUASCALIENTES CANTERAS,NORTE,AGUASCALIENTES,50,753,0,0
2016-12-10 19:44,1067,F A AGUASCALIENTES CONSTITUCION,NORTE,AGUASCALIENTES,41,1253,0,0
2016-12-10 19:44,1068,F A AGUASCALIENTES JUAREZ,NORTE,AGUASCALIENTES,13,214,0,0
2016-12-10 19:44,107,F A PUEBLA SUR ZARAGOZA,CENTRO SUR,PUEBLA SUR,29,495,0,0
2016-12-10 19:44,1071,F A AGUASCALIENTES MARISTA,NORTE,AGUASCALIENTES,77,435,0,0
2016-12-10 19:44,1072,F A AGUASCALIENTES MENDEL,NORTE,AGUASCALIENTES,23,190,0,0
2016-12-10 19:44,1073,F A AGUASCALIENTES MORELOS,NORTE,AGUASCALIENTES,131,897,0,0
2016-12-10 19:44,1075,F A AGUASCALIENTES PARIAN,NORTE,AGUASCALIENTES,19,1466,0,0
2016-12-10 19:44,108,F A PUEBLA SUR CENTRO,CENTRO SUR,PUEBLA SUR,8,1265,0,0
2016-12-10 19:44,1080,F A AGUASCALIENTES SAN NICOLAS,NORTE,AGUASCALIENTES,18,1108,0,0
2016-12-10 19:44,1081,F A AGUASCALIENTES VILLASUNCION,NORTE,AGUASCALIENTES,115,2127,0,0
2016-12-10 19:44,1086,F A JALISCO REGINA,NORTE,AGUASCALIENTES,32,1144,0,0
2016-12-10 19:44,1087,F A JALISCO TEOCALTICHE,NORTE,AGUASCALIENTES,22,2392,0,0
2016-12-10 19:44,1089,F A ZACATECAS LORETO,NORTE,AGUASCALIENTES,107,966,0,0
2016-12-10 19:44,109,F A PUEBLA NORTE XONACA,CENTRO SUR,PUEBLA NORTE,41,248,0,0
2016-12-10 19:44,1093,F A AGUASCALIENTES PABELLON,NORTE,AGUASCALIENTES,758,4348,0,0
2016-12-10 19:44,1094,F A AGUASCALIENTES RINCON,NORTE,AGUASCALIENTES,470,3964,0,0
2016-12-10 19:44,1095,F A LAGOS DE MORENO LAGOS,BAJIO,LEON,86,3768,0,0
2016-12-10 19:44,1096,F A LAGOS DE MORENO CONSTITUYENTES,BAJIO,LEON,31,3537,0,0
2016-12-10 19:44,11,F A TUXTLA GTZ 9A. NORTE,SURESTE,TUXTLA,60,380,0,0
2016-12-10 19:44,110,F A PUEBLA NORTE CHOLULA CENTRO,CENTRO SUR,PUEBLA NORTE,98,808,0,0
2016-12-10 19:44,1101,F A LEON MERCADO,BAJIO,LEON,52,1829,0,0
2016-12-10 19:44,1106,F A TAPACHULA HOSPITAL,SURESTE,TAPACHULA,210,504,0,0
2016-12-10 19:44,1111,F A XALAPA COATEPEC JUAREZ,CENTRO SUR,XALAPA,36,1235,0,0
2016-12-10 19:44,1112,F A SAN LUIS P MORELOS,NORTE,SAN LUIS POTOSI,3,1250,0,0
2016-12-10 19:44,1117,F A XALAPA COATEPEC MERCADO,CENTRO SUR,XALAPA,111,1702,0,0
2016-12-10 19:44,1118,F A TULA DE ALLENDE 5 DE MAYO,BAJIO,PACHUCA,66,533,0,0
2016-12-10 19:44,1119,F A IXTEPEC IXTEPEC F,SURESTE,TUXTLA,19,398,0,0
2016-12-10 19:44,1120,F A TUXTLA GTZ MOCTEZUMA,SURESTE,TUXTLA,19,277,0,0
2016-12-10 19:44,1125,F A TAPACHULA 5 DE FEBRERO,SURESTE,TAPACHULA,184,924,0,0
2016-12-10 19:44,1131,F A OAXACA DEL BOSQUE,CENTRO SUR,OAXACA,44,480,0,0
2016-12-10 19:44,1135,F A IRAPUATO TELEGRAFOS,BAJIO,IRAPUATO,94,1693,0,0
2016-12-10 19:44,1138,F A HUIMANGUILLO HUIMANGUILLO,SURESTE,VILLAHERMOSA,89,936,0,0
2016-12-10 19:44,1141,F A PUEBLA NORTE REFORMA,CENTRO SUR,PUEBLA NORTE,31,275,0,0
2016-12-10 19:44,1142,F A OAXACA DOLORES,CENTRO SUR,OAXACA,7,446,0,0
2016-12-10 19:44,1143,F A VERACRUZ TEHUANTEPEC,CENTRO SUR,VERACRUZ,19,100,0,0
2016-12-10 19:44,1144,F A SAN LUIS P SAN PEDRO,NORTE,SAN LUIS POTOSI,69,992,0,0
2016-12-10 19:44,1145,F A PUEBLA NORTE REVOLUCION,CENTRO SUR,PUEBLA NORTE,31,524,0,0
2016-12-10 19:44,1147,F A VERACRUZ FLORES MAGON,CENTRO SUR,VERACRUZ,15,458,0,0
2016-12-10 19:44,1149,F A SAN LUIS P CONSTITUCION,NORTE,SAN LUIS POTOSI,4,21,0,0
2016-12-10 19:44,115,F A PUEBLA NORTE LA PAZ,CENTRO SUR,PUEBLA NORTE,6,193,0,0
2016-12-10 19:44,1153,F A GUADALAJARA CAMARENA,BAJIO,GUADALAJARA,6,30,0,0
2016-12-10 19:44,1154,F A GUADALAJARA MERCADO BOLA,BAJIO,GUADALAJARA,3,250,0,0
2016-12-10 19:44,1155,F A PUEBLA SUR SAN ISIDRO,CENTRO SUR,PUEBLA SUR,10,94,0,0
2016-12-10 19:44,1157,F A GUADALAJARA BELISARIO DOMINGUEZ,BAJIO,GUADALAJARA,16,212,0,0
2016-12-10 19:44,1158,F A GUADALAJARA AGUSTIN YAÑEZ,BAJIO,GUADALAJARA,4,1002,0,0
2016-12-10 19:44,1159,F A VERACRUZ EJERCITO MEXICANO,CENTRO SUR,VERACRUZ,24,252,0,0
2016-12-10 19:44,1160,F A GUADALAJARA PABLO NERUDA,BAJIO,GUADALAJARA,10,1081,0,0
2016-12-10 19:44,1162,F A IRAPUATO REFORMA,BAJIO,IRAPUATO,82,1861,0,0
