Fecha,Hora,Medio,Tipo,Sucursal,Cuenta,Autorizacion,Monto,Estado
20161209,2217,2,4,0519,447,000000000001,000000020000,01
20161209,0930,1,4,0943,999,000000001296,000000500000,14
20161209,0930,1,4,0551,999,000000001297,000002000000,06
20161209,0930,1,4,0551,999,000000001298,000001000000,06
20161209,0930,1,4,5726,999,000000001299,000000100000,14
20161209,0930,1,4,0093,999,000000001300,000000500000,28
20161209,0930,1,4,0268,999,000000001301,000002000000,01
20161209,0930,1,4,0054,999,000000001302,000000350000,21
20161209,0930,1,4,0303,999,000000001303,000001500000,11
20161209,0930,1,4,0110,999,000000001304,000001000000,14
20161209,0930,1,4,0105,999,000000001305,000001000000,01
20161209,0930,1,4,4725,999,000000001306,000000500000,11
20161209,0930,1,4,7396,999,000000001307,000001500000,01
20161209,0930,1,4,0384,999,000000001308,000000111111,01
20161209,0930,1,4,0893,999,000000001309,000000500000,28
20161209,0930,1,4,0268,999,000000001310,000005000000,01
20161209,0930,1,4,0115,999,000000001311,000002000000,01
20161209,0930,1,4,0008,999,000000001312,000000487500,26
20161209,0930,1,4,4114,999,000000001313,000002000000,23
20161209,0930,1,4,0525,999,000000001314,000000270000,01
20161209,0930,1,4,0525,999,000000001315,000000270000,01
20161209,0930,1,4,0525,999,000000001316,000000614000,01
20161209,0930,1,4,0525,999,000000001317,000000312000,01
20161209,2240,2,6,0519,045,000000000002,000002500000,01
20161209,2242,2,5,0519,497,000000000003,000000100000,01
20161209,2244,2,6,0519,003,000000000004,000000100000,01
20161209,2244,2,4,0519,888,000000000005,000002000000,01
20161209,2245,2,4,0519,595,000000000006,000000100000,01
20161209,2245,2,5,0519,776,000000000007,000000300000,01
20161209,2246,2,4,0519,274,000000000008,000000100000,01
20161209,2246,2,5,0519,600,000000000009,000000050000,01
20161209,2246,2,4,0519,285,000000000010,000000020000,01
20161209,2246,2,4,0519,393,000000000011,000000020000,01
20161209,2246,2,4,0519,895,000000000012,000000050000,01
20161209,2246,2,4,0519,384,000000000013,000000010000,01
20161209,2246,2,4,0519,094,000000000014,000000030000,01
20161209,2247,2,5,0519,762,000000000015,000000100000,01
20161209,2247,2,4,0519,491,000000000016,000000020000,01
20161209,2247,2,4,0519,386,000000000017,000000500000,01
20161209,2247,2,4,0519,909,000000000018,000000100000,01
20161209,2247,2,5,0519,506,000000000019,000000040000,01
20161209,2247,2,4,0519,791,000000000020,000000100000,01
20161209,2247,2,5,0519,682,000000000021,000000020000,01
20161209,2247,2,4,0519,894,000000000022,000000050000,01
20161209,2247,2,4,0519,186,000000000023,000001500000,01
20161209,2247,2,4,0519,434,000000000024,000000050000,01
20161209,2248,2,4,0519,033,000000000025,000000000100,01
20161209,2248,2,5,0519,510,000000000026,000000030000,01
20161209,2248,2,5,0519,456,000000000027,000000100000,01
20161209,2248,2,4,0519,617,000000000028,000001000000,01
20161209,2248,2,5,0519,097,000000000029,000000200000,01
20161209,2248,2,5,0519,388,000000000030,000000100000,01
20161209,2248,2,4,0519,365,000000000031,000000015000,01
20161209,2248,2,4,0519,890,000000000032,000000010000,01
20161209,2248,2,4,0519,991,000000000033,000000100000,01
20161209,2248,2,4,0519,316,000000000034,000000030000,01
20161209,2249,2,4,0519,689,000000000035,000000020000,01
20161209,2249,2,4,0519,571,000000000036,000000100000,01
20161209,2249,2,4,0519,573,000000000037,000000500000,01
20161209,2249,2,4,0519,492,000000000038,000000100000,01
20161209,2249,2,5,0519,297,000000000039,000000100000,01
20161209,2249,2,5,0519,297,000000000040,000000100000,01
20161209,2249,2,4,0519,313,000000000041,000000050000,01
20161209,2249,2,5,0519,472,000000000042,000000050000,01
20161209,2249,2,4,0519,388,000000000043,000000100000,01
20161209,2249,2,5,0519,527,000000000044,000000050000,01
20161209,2250,2,4,0519,656,000000000045,000000040000,01
20161209,2251,2,4,0519,099,000000000046,000000050000,01
20161209,2251,2,4,0519,955,000000000047,000000050000,01
20161209,2252,2,4,0519,153,000000000048,000000100000,01
20161209,2252,2,4,0519,097,000000000049,000000200000,01
20161209,2252,2,4,0519,573,000000000050,000000030000,01
20161209,2252,2,4,0519,291,000000000051,000000045000,01
20161209,2252,2,5,0519,945,000000000052,000000005000,01
20161209,2252,2,4,0519,494,000000000053,000000050000,01
20161209,2253,2,5,0519,907,000000000054,000000500000,01
20161209,2253,2,4,0519,397,000000000055,000000200000,01
20161209,2253,2,5,0519,484,000000000056,000000020000,01
20161209,2253,2,4,0519,231,000000000057,000000015000,01
20161209,2253,2,6,0519,002,000000000058,000000200000,01
20161209,2253,2,5,0519,157,000000000059,000000200000,01
20161209,2253,2,4,0519,490,000000000060,000000100000,01
20161209,2254,2,4,0519,990,000000000061,000000020000,01
20161209,2254,2,4,0519,792,000000000062,000000050000,01
20161209,2254,2,4,0519,976,000000000063,000000400000,01
20161209,2254,2,4,0519,398,000000000064,000000050000,01
